ID,Shot,Start Measure,End Measure
293,Measure 293,293,294
294,Measure 294,294,295
295,Measure 295,295,296
296,Measure 296,296,297
297,Measure 297,297,298
298,Measure 298,298,299
299,Measure 299,299,300
300,Measure 300,300,301
301,Measure 301,301,302
302,Measure 302,302,303
303,Measure 303,303,304
304,Measure 304,304,305
305,Measure 305,305,306
306,Measure 306,306,307
307,Measure 307,307,308
308,Measure 308,308,309
309,Measure 309,309,310
310,Measure 310,310,311
311,Measure 311,311,312
312,Measure 312,312,313
313,Measure 313,313,314
314,Measure 314,314,315
315,Measure 315,315,316
316,Measure 316,316,317
317,Measure 317,317,318
318,Measure 318,318,319
319,Measure 319,319,320
320,Measure 320,320,321
321,Measure 321,321,322
322,Measure 322,322,323
323,Measure 323,323,324
324,Measure 324,324,325
325,Measure 325,325,326
326,Measure 326,326,327
327,Measure 327,327,328
328,Measure 328,328,329
329,Measure 329,329,330
330,Measure 330,330,331
331,Measure 331,331,332
332,Measure 332,332,333
333,Measure 333,333,334
334,Measure 334,334,335
335,Measure 335,335,336
336,Measure 336,336,337
337,Measure 337,337,338
338,Measure 338,338,339
339,Measure 339,339,340
340,Measure 340,340,341
341,Measure 341,341,342
342,Measure 342,342,343
343,Measure 343,343,344
344,Measure 344,344,345
345,Measure 345,345,346
346,Measure 346,346,347
347,Measure 347,347,348
348,Measure 348,348,349
349,Measure 349,349,350
350,Measure 350,350,351
351,Measure 351,351,352
352,Measure 352,352,353
353,Measure 353,353,354
354,Measure 354,354,355
355,Measure 355,355,356
356,Measure 356,356,357
357,Measure 357,357,358
358,Measure 358,358,359
359,Measure 359,359,360
360,Measure 360,360,361
361,Measure 361,361,362
362,Measure 362,362,363
363,Measure 363,363,364
364,Measure 364,364,365
365,Measure 365,365,366
366,Measure 366,366,367
367,Measure 367,367,368
368,Measure 368,368,369
369,Measure 369,369,370
370,Measure 370,370,371
371,Measure 371,371,372
372,Measure 372,372,373
373,Measure 373,373,374
374,Measure 374,374,375
375,Measure 375,375,376
376,Measure 376,376,377
377,Measure 377,377,378
378,Measure 378,378,379
379,Measure 379,379,380
380,Measure 380,380,381
381,Measure 381,381,382
382,Measure 382,382,383
383,Measure 383,383,384
384,Measure 384,384,385
385,Measure 385,385,386
386,Measure 386,386,387
387,Measure 387,387,388
388,Measure 388,388,389
389,Measure 389,389,390
390,Measure 390,390,391
391,Measure 391,391,392
392,Measure 392,392,393
393,Measure 393,393,394
394,Measure 394,394,395
395,Measure 395,395,396
396,Measure 396,396,397
397,Measure 397,397,398
398,Measure 398,398,399
399,Measure 399,399,400
400,Measure 400,400,401
401,Measure 401,401,402
402,Measure 402,402,403
403,Measure 403,403,404
404,Measure 404,404,405
405,Measure 405,405,406
406,Measure 406,406,407
407,Measure 407,407,408
408,Measure 408,408,409
409,Measure 409,409,410
410,Measure 410,410,411
411,Measure 411,411,412
412,Measure 412,412,413
413,Measure 413,413,414
414,Measure 414,414,415
415,Measure 415,415,416
416,Measure 416,416,417
417,Measure 417,417,418
418,Measure 418,418,419
419,Measure 419,419,420
420,Measure 420,420,421
421,Measure 421,421,422
422,Measure 422,422,423
423,Measure 423,423,424
424,Measure 424,424,425
425,Measure 425,425,426
426,Measure 426,426,427
427,Measure 427,427,428
428,Measure 428,428,429
429,Measure 429,429,430
430,Measure 430,430,431
431,Measure 431,431,432
432,Measure 432,432,433
433,Measure 433,433,434
434,Measure 434,434,435
435,Measure 435,435,436
436,Measure 436,436,437
437,Measure 437,437,438
438,Measure 438,438,439
439,Measure 439,439,440
440,Measure 440,440,441
441,Measure 441,441,442
442,Measure 442,442,443
443,Measure 443,443,444
444,Measure 444,444,445
445,Measure 445,445,446
446,Measure 446,446,447
447,Measure 447,447,448
448,Measure 448,448,449
449,Measure 449,449,450
450,Measure 450,450,451
451,Measure 451,451,452
452,Measure 452,452,453
453,Measure 453,453,454
454,Measure 454,454,455
455,Measure 455,455,456
456,Measure 456,456,457
457,Measure 457,457,458
458,Measure 458,458,459
459,Measure 459,459,460
460,Measure 460,460,461
461,Measure 461,461,462
462,Measure 462,462,463
463,Measure 463,463,464
464,Measure 464,464,465
465,Measure 465,465,466
466,Measure 466,466,467
467,Measure 467,467,468
468,Measure 468,468,469
469,Measure 469,469,470
470,Measure 470,470,471
471,Measure 471,471,472
472,Measure 472,472,473
473,Measure 473,473,474
474,Measure 474,474,475
475,Measure 475,475,476
476,Measure 476,476,477
477,Measure 477,477,478
478,Measure 478,478,479
479,Measure 479,479,480
480,Measure 480,480,481
481,Measure 481,481,482
482,Measure 482,482,483
483,Measure 483,483,484
484,Measure 484,484,485
485,Measure 485,485,486
486,Measure 486,486,487
487,Measure 487,487,488
488,Measure 488,488,489
489,Measure 489,489,490
490,Measure 490,490,491
491,Measure 491,491,492
492,Measure 492,492,493
493,Measure 493,493,494
494,Measure 494,494,495
495,Measure 495,495,496
496,Measure 496,496,497
497,Measure 497,497,498
498,Measure 498,498,499
499,Measure 499,499,500
500,Measure 500,500,501
501,Measure 501,501,502
502,Measure 502,502,503
503,Measure 503,503,504
504,Measure 504,504,505
505,Measure 505,505,506
506,Measure 506,506,507
507,Measure 507,507,508
508,Measure 508,508,509
509,Measure 509,509,510
510,Measure 510,510,511
511,Measure 511,511,512
512,Measure 512,512,513
513,Measure 513,513,514
514,Measure 514,514,515
515,Measure 515,515,516
516,Measure 516,516,517
517,Measure 517,517,518
518,Measure 518,518,519
519,Measure 519,519,520
520,Measure 520,520,521
521,Measure 521,521,522
522,Measure 522,522,523
523,Measure 523,523,524
524,Measure 524,524,525
525,Measure 525,525,526
526,Measure 526,526,527
527,Measure 527,527,528
528,Measure 528,528,529
529,Measure 529,529,530
530,Measure 530,530,531
531,Measure 531,531,532
532,Measure 532,532,533
533,Measure 533,533,534
534,Measure 534,534,535
535,Measure 535,535,536
536,Measure 536,536,537
537,Measure 537,537,538
538,Measure 538,538,539
539,Measure 539,539,540
540,Measure 540,540,541
541,Measure 541,541,542
542,Measure 542,542,543
543,Measure 543,543,544
544,Measure 544,544,545
545,Measure 545,545,546
546,Measure 546,546,547
547,Measure 547,547,548
548,Measure 548,548,549
